uni,uni_stock,fba,fba_stock,fbf,fbf_stock,sjit,sjit_stock
BL6197GREEN0426-XL,12,uni,0,pASTE hERE :-,0,JOPLVSRW4147-S,10
BL6197GREEN0426-XXL,11,JOPLVL213-3XL,2,JOPLJPR518-XXL,10,JOPLST736-L,1
BL6197MAROON0426-XL,10,JOPLJPR68D-4XL,4,JOPLST243-4XL,26,JOPLLTRW2007-5XL,15
BL6197MAROON0426-XXL,9,JOPLJPR68D-3XL,2,JOPLST243-XXL,23,JOPLST218-L,131
BL6197PINK0426-XL,10,JOPLPDPRW1058-4XL,50,JOPLST218-L,6,JOPLLTRW2015-9XL,3
BL6197PINK0426-XXL,4,JOPLPDPRW1058-3XL,35,JOPLST243-3XL,9,JOPLVSRW4005-8XL,17
BL6197RED0426-XL,10,JOPLJPR89-4XL,6,JOPLLTRW2017-M,41,JOPLJPR342-M,1
BL6197RED0426-XXL,10,JOPLJPR69C-4XL,7,JOPLJPR10-XXL,6,JOPLVSRW4292-4XL,12
BL6197WHITE0426-XL,11,JOPLJPR85-4XL,2,JOPLLTRW2017-3XL,23,JOPLJPR740-XL,3
BL6197WHITE0426-XXL,10,JOPLJPR44-XL,138,JOPLST218-XXL,0,JOPLLTRW2017-3XL,58
BL6207BLUE0426-XL,9,JOPLVL238-S,16,JOPLPDPRW1058-4XL,79,JOPLJPR752-M,2
BL6207BLUE0426-XXL,10,JOPLJPR68A-3XL,1,JOPLPDPRW1058-M,44,JOPLVSRW4292-9XL,2
BL6207BROWN0426-XL,10,JOPLPDPRW1058-S,8,JOPLVSMRW3988-XXL,61,JOPLST242-6XL,10
BL6207BROWN0426-XXL,10,JOPLJPR801-3XL,3,JOPLVSRW4005-3XL,40,JOPLLTRW2017-M,1
BL6207GREEN0426-XL,10,JOPLVL214-4XL,1,JOPLPDPRW1058-S,33,JOPLVSRW4147-7XL,6
BL6207GREEN0426-XXL,10,JOPLVL214-M,6,JOPLVSMRW3988-6XL,10,JOPLST735-XXL,1
BL6207MAROON0426-XL,10,JOPLVL218-L,7,JOPLLTRW2017-XL,33,JOPLPDPRW1058-M,14
BL6207MAROON0426-XXL,10,JOPLVL218-M,6,JOPLVSMRW3988-M,96,JOPLST734-S,3
BL6207PINK0426-XL,10,JOPLVL218-S,4,JOPLLTRW2015-M,0,JOPLJPR43-L,13
BL6207PINK0426-XXL,10,JOPLVL241A-M,6,JOPLLTRW2015-XXL,34,JOPLPDPRW1058-3XL,39
BL6207RED0426-XL,10,JOPLVL241A-L,1,JOPLPDPRW1058-XXL,11,JOPLLTRW2007-4XL,21
BL6207RED0426-XXL,10,JOPLVL245-S,1,JOPLVL212-M,0,JOPLST201-XL,15
BL6207ROSEPINK0426-XL,7,JOPLVL245-L,2,JOPLJPR10-L,6,JOPLST218-XXL,49
BL6207ROSEPINK0426-XXL,13,JOPLVL241A-XL,12,JOPLST243-L,8,JOPLVL245-XL,17
BL6207WHITE0426-XL,10,JOPLVL244-M,2,JOPLPDPRW1058-3XL,30,JOPLJPR786-M,2
BL6207WHITE0426-XXL,10,JOPLVL245-M,16,JOPLJPR518-L,0,JOPLJPR742-M,26
BL6207WINE0426-XL,10,JOPLVL241A-XXL,2,JOPLVSMRW3988-XL,93,JOPLJPR801-S,2
BL6207WINE0426-XXL,10,JOPLVL245-XL,8,JOPLVSMRW3988-L,67,JOPLVL212-M,7
BL6208GREEN0426-XL,10,JOPLVL248-S,3,JOPLVSRW4147-4XL,18,JOPLVSRW5204-5XL,2
BL6208GREEN0426-XXL,7,JOPLVSMRW3988-4XL,3,JOPLVSRW4147-S,1,JOPLVSRW5209-M,1
BL6208MAROON0426-XL,3,JOPLVSMRW3988-3XL,6,JOPLPDPRW1058-6XL,18,JOPLLTRW2015-8XL,19
BL6208MAROON0426-XXL,9,JOPLJPR44-5XL,51,JOPLLTRW2017-L,3,JOPLLTRW2015-4XL,34
BL6208PISTA0426-XL,10,JOPLPDPRW1058-6XL,89,JOPLPDPRW1058-L,67,JOPLST243-3XL,1
BL6208PISTA0426-XXL,9,JOPLPDPRW1058-XXL,25,JOPLPDPRW1058-7XL,17,JOPLJPR350-XL,1
BL6208PURPLE0426-XL,5,JOPLPDP1058,38,JOPLPDPRW1058-XL,132,JOPLST218-4XL,39
BL6208PURPLE0426-XXL,10,JOPLVL263-M,1,JOPLST243-XL,23,JOPLST218-S,39
BL6208RED0426-XL,10,JOPLJPR43-5XL,0,JOPLVSRW4292-XXL,9,JOPLLTRW2015-XL,36
BL6208RED0426-XXL,3,JOPLJPR820B-S,0,JOPLLTRW2015-XL,29,JOPLJPR740-XS,17
BL6208WHITE0426-XL,12,JOPLJPR83-5XL,1,JOPLVSMRW3988-4XL,17,JOPLLTRW2015-6XL,15
BL6208WHITE0426-XXL,6,JOPLJPR801-5XL,16,JOPLST243-S,4,JOPLST243-M,1
BL6208YELLOW0426-XL,3,JOPLVL288-S,1,JOPLVSMRW3988-3XL,9,JOPLVSMRW4250-XL,18
BL6208YELLOW0426-XXL,7,JOPLVL288-M,6,JOPLVSRW5172-XL,11,JOPLJPR757-S,13
BL6213BEIGE0426-XL,10,JOPLVL286-XL,1,JOPLLTRW2015-3XL,26,JOPLLTRW2015-10XL,13
BL6213BEIGE0426-XXL,10,JOPLVL288-L,2,JOPLVSRW4005-4XL,44,JOPLJPR706-L,3
BL6213BLACK0426-XL,10,JOPLJPR10-XXL,5,JOPLVSRW4147-XXL,28,JOPLJPR4030-XXL,2
BL6213BLACK0426-XXL,10,JOPLVL213X-XXL,5,JOPLPDPRW1058-5XL,20,JOPLVSRW4292-XXL,4
BL6213BROWN0426-XL,10,JOPLJPR43-XXL,34,JOPLLTRW2017-4XL,21,JOPLJPR708-S,1
BL6213BROWN0426-XXL,10,JOPLJPR89-XXL,2,JOPLVSRW5202-4XL,3,JOPLVSRW4147-5XL,27
BL6213GREEN0426-XL,10,JOPLJPR750-S,2,JOPLVSRW4147-5XL,22,JOPLJPR742-L,30
BL6213GREEN0426-XXL,10,JOPLJPR750-XXL,4,JOPLVSMRW3988-S,13,JOPLVSRW4147-4XL,66
BL6213MAROON0426-XL,10,JOPLJPR786-XL,11,JOPLVSRW4292-M,5,JOPLJPR783-XS,1
BL6213MAROON0426-XXL,10,JOPLJPR786-XXL,2,JOPLVSRW4147-L,17,JOPLLTRW2017-9XL,30
BL6213PEACH0426-XL,10,JOPLJPR786-M,1,JOPLST218-XL,17,JOPLVSRW5163-5XL,1
BL6213PEACH0426-XXL,10,JOPLVSMRW4284-10XL,1,JOPLVSRW5172-M,9,JOPLJPR341-XXL,1
BL6213PINK0426-XL,10,JOPLVSRW5193-3XL,20,JOPLST243-5XL,15,JOPLLTRW2018-L,6
BL6213PINK0426-XXL,10,JOPLVSRW5193-4XL,4,JOPLST218-4XL,0,JOPLLTRW2016-4XL,3
BL6213RED0426-XL,10,JOPLVSRW5193-L,1,JOPLVSRW4147-M,10,JOPLVSRW4147-XL,11
BL6213RED0426-XXL,10,JOPLVSRW5193-S,7,JOPLJPR10-XL,17,JOPLPDPRW1058-XL,43
BL6213ROSEPINK0426-XL,10,JOPLVSRW5193-9XL,3,JOPLST218-3XL,0,JOPLJPR778-XS,1
BL6213ROSEPINK0426-XXL,10,JOPLST703-S,29,JOPLVSRW5202-XXL,1,JOPLVSRW4147-3XL,64
BL6213TEAL0426-XL,10,JOPLST703-XL,21,JOPLLTRW2007-L,3,JOPLJPR342-XXL,1
BL6213TEAL0426-XXL,10,JOPLST703-3XL,5,JOPLLTRW2015-L,14,JOPLPDPRW1058-4XL,8
BL6213WHITE0426-XL,10,JOPLST703-XXL,18,JOPLVSMRW5160-5XL,0,JOPLVSMRW4250-8XL,20
BL6213WHITE0426-XXL,10,JOPLST218-S,9,JOPLVSRW5172-XXL,38,JOPLLTRW2017-XXL,14
BL6213WINE0426-XL,10,JOPLST218-L,20,JOPLPDPRW1006-XXL,8,JOPLVSMRW4250-XXL,51
BL6213WINE0426-XXL,10,JOPLST218-XXL,30,JOPLST268-XL,0,JOPLST218-3XL,91
ERT-EH-CONDITIONER-100ML,5,JOPLST258-L,1,JOPLLTRW2017-XXL,63,JOPLVSRW4147-8XL,11
ERT-EH-CONDITIONER-200ML,5,JOPLST218-XL,77,JOPLST270-L,2,JOPLLTRW2017-10XL,23
ERT-EH-SHAMPOO-100ML,5,JOPLST218-M,23,JOPLVSMRW3988-5XL,6,JOPLPDPRW1006-6XL,1
ERT-EH-SHAMPOO-200ML,5,JOPLRJN17-XL,2,JOPLPDPRW1006-XL,1,JOPLJPR43-XL,10
ERT-ESE-HAIROIL-50ML,5,JOPLJPR4019-L,1,JOPLST243-6XL,7,JOPLLTRW2017-7XL,29
ERT-LMFBC-BODYLOTION-100ML,5,JOPLST716-XL,1,JOPLLTRW2007-XL,4,JOPLST703-L,4
ERT-LMFBC-BODYLOTION-200ML,5,JOPLJPR4021-XXL,0,JOPLVSRW4292-7XL,2,JOPLVSMRW4277-6XL,1
ERT-LMFBC-SHOWERGEL-100ML,5,JOPLJPR216-3XL,11,JOPLJPR10-S,2,JOPLJPR346-XS,2
ERT-LMFBC-SHOWERGEL-200ML,5,JOPLDI1062,1,JOPLLTRW2007-3XL,0,JOPLLTRW2015-5XL,11
ERT-SL-HAIRSERUM-50ML,5,JOPLDI1072,4,JOPLLTRW2017-S,12,JOPLST242-5XL,19
ERT-VAD-CONDITIONER-100ML,5,JOPLST712-XL,4,JOPLVSRW4005-5XL,22,JOPLPDPRW1058-S,40
ERT-VAD-CONDITIONER-200ML,4,JOPLJPR783-XL,3,JOPLVSRW4147-3XL,19,JOPLJPR518-S,1
ERT-VAD-SHAMPOO-100ML,5,JOPLST243-3XL,2,JOPLVSRW4147-7XL,6,JOPLVSMRW3988-S,4
ERT-VAD-SHAMPOO-200ML,5,JOPLST738-XL,1,JOPLVSRW4147-XL,14,JOPLVSRW5204-6XL,3
ERT-WBC-SHOWERGEL-100ML,5,JOPLVSRW5193-XL,10,JOPLVSM4005J,6,JOPLVSRW1163-L,1
ERT-WBC-SHOWERGEL-200ML,5,JOPLJPR43-L,21,JOPLVSRW1163-6XL,1,JOPLVSMRW4250-3XL,19
ERT-WBL-BODYLOTION-100ML,5,JOPLST218-5XL,4,JOPLVSMRW4250-M,1,JOPLVSRW4147-9XL,1
ERT-WBL-BODYLOTION-200ML,5,JOPLVSRW5203-4XL,3,JOPLVSRW4002-XXL,10,JOPLVL241-XXL,1
JOPLAI1001D,644,JOPLVSRW5202-6XL,10,JOPLJPR801X-4XL,0,JOPLST202-XXL,1
JOPLANG3010,171,JOPLVSRW5204-XL,2,JOPLVL214-XXL,1,JOPLST201-XXL,13
JOPLANG5010,10,JOPLST218-6XL,43,JOPLDI1062,1,JOPLVSRW4005-XXL,23
JOPLCS101-XS,1,JOPLJPR68C-4XL,1,JOPLVL245-XXL,7,JOPLLTRW2013-L,7
JOPLCS102-L,1,JOPLST218-3XL,25,JOPLVSRW4002-S,3,JOPLVSRW4114-3XL,1
JOPLCS102-XS,9,JOPLJPR43-6XL,4,JOPLANG3010,1,JOPLVSRW5204-3XL,3
JOPLCS104-M,1,JOPLVSRW5204-4XL,1,JOPLVSRW4031-M,3,JOPLVSRW4005-XL,1
JOPLCS104-S,1,JOPLST218-4XL,4,JOPLST218-M,4,JOPLVSRW4147-10XL,6
JOPLCS104-XS,4,JOPLVSRW5202-XL,37,JOPLVL218-XXL,2,JOPLST218-M,49
JOPLCS104-XXL,7,JOPLVSRW5205-L,2,JOPLJPR312-S,1,JOPLJPR332-XL,2
JOPLCS105-XS,5,JOPLVSRW5204-5XL,1,JOPLJPR519-L,0,JOPLLT2018,9
JOPLCS106-XS,1,JOPLVSRW5206-M,4,JOPLVSRW4093-XXL,3,JOPLST218-XL,73
JOPLCS107-L,24,JOPLVSRW5202-5XL,19,JOPLVSRW4002-4XL,2,JOPLLTRW2017-L,7
JOPLCS107-M,29,JOPLVSRW5202-4XL,35,JOPLJPR69C-3XL,2,JOPLVSMRW4277-XXL,1
JOPLCS107-S,10,JOPLVSRW5202-S,31,JOPLJPR68D-XXL,2,JOPLLTRW2016-M,6
JOPLCS107-XL,14,JOPLVSRW5204-S,3,JOPLJPR68A-S,1,JOPLVSRW4082-XL,1
JOPLCS107-XS,22,JOPLJPR44-M,77,JOPLJPR43-XL,3,JOPLLTRW2017-XL,37
JOPLCS107-XXL,33,JOPLVSRW5206-S,1,JOPLJPR83-6XL,4,JOPLJPR783-XL,1
JOPLCS108-L,38,JOPLVSRW5202-M,29,JOPLJPR69A-6XL,1,JOPLJPR43-M,35
JOPLCS108-M,22,JOPLST263-S,2,JOPLVSRW5213-S,0,JOPLVSRW4005-10XL,27
JOPLCS108-S,32,JOPLVSRW5206-4XL,1,JOPLJPR68A-3XL,1,JOPLLTRW2016-6XL,3
JOPLCS108-XL,33,JOPLVSRW5206-XL,4,JOPLJPR794-L,4,JOPLJPR757-M,20
JOPLCS108-XS,36,JOPLVSRW5202-3XL,25,JOPLJPR68D-S,0,JOPLVSRW5206-3XL,2
JOPLCS108-XXL,57,JOPLVSRW5207-S,6,JOPLVSRW5215-3XL,3,JOPLVSRW4082-5XL,9
JOPLCS109-L,25,JOPLVSMRW3988-9XL,4,JOPLJPR707-XL,0,JOPLJPR836-XXL,3
JOPLCS109-M,17,JOPLVSMRW4250-8XL,1,JOPLVSRW4093-L,1,JOPLJPR730-XS,3
JOPLCS109-S,28,JOPLVSRW4005-3XL,6,JOPLVSRW4093-XL,1,JOPLJPR85-M,1
JOPLCS109-XL,11,JOPLLTRW2017-3XL,25,JOPLVSRW5204-S,3,JOPLVSRW4005-5XL,26
JOPLCS109-XS,21,JOPLVSMRW5156-8XL,1,JOPLJPR515-XXL,5,JOPLJPR89-3XL,7
JOPLCS109-XXL,28,JOPLLTRW2017-9XL,9,JOPLJPR747-S,2,JOPLJPR69B-XL,1
